Date,Date_Unnamed: 0_level_1,Close_RELIANCE.NS,High_RELIANCE.NS,Low_RELIANCE.NS,Open_RELIANCE.NS,Volume_RELIANCE.NS
2020-01-01,01-01-2020,682.6364746,690.5499369,680.78252,686.4349413,14004468.0
2020-01-02,02-01-2020,694.2579956,696.8129261,683.7218051,683.7218051,17710316.0
2020-01-03,03-01-2020,695.0945435,697.1294321,688.6959279,693.2178891,20984698.0
2020-01-06,06-01-2020,678.9737549,690.9117161,677.3910503,687.3394016,24519177.0
2020-01-07,07-01-2020,689.4194946,693.8962375,684.4000705,686.8871432,16683622.0
2020-01-08,08-01-2020,684.2418213,693.873583,682.8174114,685.078392,16047902.0
2020-01-09,09-01-2020,700.0008545,700.9052225,692.4265608,695.7502039,14982742.0
2020-01-10,10-01-2020,699.8425903,704.5002067,696.2249972,701.7644027,12478359.0
2020-01-13,13-01-2020,698.0564575,704.8393995,695.6598216,698.6669362,18282382.0
2020-01-14,14-01-2020,691.5900879,700.9053216,688.1760075,696.38336,15816535.0
2020-01-15,15-01-2020,689.0803833,696.3381493,686.548092,694.5067735,15817859.0
2020-01-16,16-01-2020,695.4336548,697.8981484,690.9569119,691.4091564,12847975.0
2020-01-17,17-01-2020,714.9234619,716.7096193,702.3523818,702.488037,29463471.0
2020-01-20,20-01-2020,692.9240112,727.5849153,690.2334255,727.5849153,32545850.0
2020-01-21,21-01-2020,693.624939,699.0286895,688.2437675,691.228303,18922720.0
2020-01-22,22-01-2020,693.3761597,699.4356068,692.3587154,698.1920706,10322817.0
2020-01-23,23-01-2020,690.4369507,697.2651112,687.6559281,694.8006175,11247739.0
2020-01-24,24-01-2020,688.0402832,694.7327882,686.6836707,690.5047164,14628445.0
2020-01-27,27-01-2020,681.2573242,689.3516606,680.5564087,685.0332122,13387750.0
2020-01-28,28-01-2020,665.520874,682.8174274,661.8354834,682.1843093,24532236.0
2020-01-29,29-01-2020,669.1836548,675.7630835,662.0389055,666.5608666,24746565.0
2020-01-30,30-01-2020,652.859375,669.1158451,651.1636546,668.7993162,22402689.0
2020-01-31,31-01-2020,638.3438721,657.1552735,636.3316227,657.0421973,34750310.0
2020-02-03,03-02-2020,626.5188599,633.0531306,616.3670565,619.4646077,30712290.0
2020-02-04,04-02-2020,645.0137939,647.7721772,632.0809668,633.0757718,25383901.0
2020-02-05,05-02-2020,655.0072632,656.951715,646.7773322,648.8573789,18472100.0
2020-02-06,06-02-2020,659.2127075,663.3729217,651.2088684,657.5396265,15538577.0
2020-02-07,07-02-2020,648.2922363,656.7483205,645.8729608,656.1378417,12209212.0
2020-02-10,10-02-2020,649.1740112,653.6507544,637.8012494,645.7372914,15142476.0
2020-02-11,11-02-2020,656.9291382,663.0111647,653.4472002,654.5098629,13999816.0
2020-02-12,12-02-2020,664.8651733,666.9227013,657.9465762,658.466618,13533565.0
2020-02-13,13-02-2020,666.6061401,668.2340632,661.3832631,668.2340632,13565659.0
2020-02-14,14-02-2020,672.6881714,678.9510712,657.0873391,668.0079157,21227841.0
2020-02-17,17-02-2020,668.460144,681.0764417,666.6739868,673.3212737,13149130.0
2020-02-18,18-02-2020,663.553772,667.3974571,659.0318107,667.3974571,11127161.0
2020-02-19,19-02-2020,680.0137939,681.2121119,667.0357487,668.9575612,14084409.0
2020-02-20,20-02-2020,671.9420776,681.9130079,670.9698517,676.9388625,16892268.0
2020-02-24,24-02-2020,653.4020386,667.8949314,650.9601841,664.6165061,21370214.0
2020-02-25,25-02-2020,640.4917603,656.3186241,637.5976617,656.3186241,27745062.0
2020-02-26,26-02-2020,629.4581299,638.660347,627.3554439,637.5976843,29362748.0
2020-02-27,27-02-2020,626.8580933,630.2721737,619.0576461,627.6493852,25054993.0
2020-02-28,28-02-2020,600.8114624,613.6312728,599.1609604,612.6816259,39315769.0
2020-03-02,02-03-2020,595.1590576,619.0576196,588.3534761,612.7720799,29500495.0
2020-03-03,03-03-2020,607.232666,612.2294508,597.8043566,601.2862947,27398798.0
2020-03-04,04-03-2020,605.8082275,612.1842036,591.4283524,611.3702724,22105261.0
2020-03-05,05-03-2020,592.8981323,614.0609525,590.5692936,611.4608033,30510390.0
2020-03-06,06-03-2020,574.7423096,582.497538,561.2216437,574.2901255,33734039.0
2020-03-09,09-03-2020,503.8152466,561.1764255,495.1556802,560.7468205,88187018.0
2020-03-11,11-03-2020,521.6317749,532.8914592,501.0341884,501.0341884,59578576.0
2020-03-12,12-03-2020,480.6853638,497.8688412,474.2189505,490.633715,55970485.0
2020-03-13,13-03-2020,499.8132935,515.5045031,426.1504266,451.2925549,73297403.0
2020-03-16,16-03-2020,459.2964478,488.2370424,454.4579274,479.5774763,38482258.0
2020-03-17,17-03-2020,455.8145142,479.3287479,453.6439704,473.5632204,45445979.0
2020-03-18,18-03-2020,437.9527893,468.4308724,434.5613181,463.6375701,44730415.0
2020-03-19,19-03-2020,414.9811401,437.274448,403.4501147,416.0664121,61404010.0
2020-03-20,20-03-2020,460.3138733,467.9786041,420.54314,424.8390091,63360475.0
2020-03-23,23-03-2020,399.76474,429.5871248,395.966273,414.3028504,40670949.0
2020-03-24,24-03-2020,426.6026001,438.6310279,405.0780355,420.5431527,45734887.0
2020-03-25,25-03-2020,489.3901367,520.7273669,435.5787252,435.8274264,73130298.0
2020-03-26,26-03-2020,482.1323853,505.0587815,471.3474934,495.517426,45744488.0
2020-03-27,27-03-2020,481.8610535,500.7176715,473.0884415,495.1556568,41657940.0
2020-03-30,30-03-2020,465.9663391,486.0212754,461.240895,470.5561582,30229866.0
2020-03-31,31-03-2020,503.6343689,510.8921042,473.9024215,485.63693,44292810.0
2020-04-01,01-04-2020,488.5762329,508.5407033,472.6362914,507.4780405,41597459.0
2020-04-03,03-04-2020,487.2196045,512.9948507,477.6556399,512.9948507,41367807.0
2020-04-07,07-04-2020,545.3947754,548.9670899,497.4166577,498.3662744,54373624.0
2020-04-08,08-04-2020,539.0865479,555.7500423,524.5484391,533.592361,49880330.0
2020-04-09,09-04-2020,551.6576538,557.4683697,539.4709617,548.9670682,33032857.0
2020-04-13,13-04-2020,537.7300415,549.4193315,533.5924064,544.4225467,23673784.0
2020-04-15,15-04-2020,519.9586792,558.9154541,516.8611277,541.3023712,35321842.0
2020-04-16,16-04-2020,528.1887207,536.9613341,517.7656051,519.9587283,37455706.0
2020-04-17,17-04-2020,553.4890747,556.2022999,539.3127113,549.8715417,33269335.0
2020-04-20,20-04-2020,562.4425659,568.411516,543.5407298,554.3934485,36030932.0
2020-04-21,21-04-2020,559.5259399,566.1505876,526.3573019,547.1583129,61371628.0
2020-04-22,22-04-2020,616.6157227,626.2475445,587.856033,596.8999552,142683366.0
2020-04-23,23-04-2020,619.9168091,626.677172,611.9581282,618.3115255,65464502.0
2020-04-24,24-04-2020,640.7631226,676.0118671,609.1997688,610.533742,134986308.0
2020-04-27,27-04-2020,646.5285645,666.9904655,643.4762317,648.4503768,58482901.0
2020-04-28,28-04-2020,645.8051147,658.1500416,629.5260055,655.6856082,78453401.0
2020-04-29,29-04-2020,645.2624512,657.3361282,642.1196813,653.379427,37494672.0
2020-04-30,30-04-2020,662.9207153,676.011836,650.2818391,657.4717466,71345899.0
2020-05-04,04-05-2020,648.9931641,662.4686127,640.9666245,651.1637081,53456868.0
2020-05-05,05-05-2020,660.5014038,668.7992524,654.4193777,657.3586946,44903763.0
2020-05-06,06-05-2020,660.5467529,671.4899094,653.6507345,662.0163814,40489094.0
2020-05-07,07-05-2020,681.4381714,684.4679253,653.4246145,657.9465758,50026966.0
2020-05-08,08-05-2020,706.241272,714.4259851,695.0719628,698.6443378,84262770.0
2020-05-11,11-05-2020,713.0241699,730.298084,710.9892813,714.4711589,67085063.0
2020-05-12,12-05-2020,668.9123535,709.2031628,662.4685794,707.5978188,100683202.0
2020-05-13,13-05-2020,683.1044922,697.0500537,663.7267452,697.0500537,66430125.0
2020-05-14,14-05-2020,655.4872437,683.2186244,652.7940015,670.5740122,49266771.0
2020-05-15,15-05-2020,666.1917725,669.5241093,645.9695463,659.1619103,62152260.0
2020-05-18,18-05-2020,657.6783447,676.5082789,651.8582107,671.0305128,62796089.0
2020-05-19,19-05-2020,643.1393433,667.2417199,640.5602641,665.0962303,42315854.0
2020-05-20,20-05-2020,654.4602051,660.4629638,635.8812955,643.641535,55320985.0
2020-05-21,21-05-2020,657.9065552,667.1274868,650.4886846,655.0535095,39167981.0
2020-05-22,22-05-2020,653.4786987,665.5526769,651.1734657,662.7225119,37828973.0
2020-05-26,26-05-2020,650.0550537,661.763843,646.5172721,661.0562867,33216635.0
2020-05-27,27-05-2020,659.8695068,663.7267759,644.5544729,653.2276532,35667956.0
2020-05-28,28-05-2020,672.0575562,675.4811751,661.4443315,664.1832146,40126278.0
2020-05-29,29-05-2020,668.4742432,671.9435033,663.1105792,670.117561,40022527.0
2020-06-01,01-06-2020,694.0144043,702.2311134,673.746538,675.5953006,39943702.0
2020-06-02,02-06-2020,701.0214233,702.9843489,694.2198265,696.5935815,22153960.0
2020-06-03,03-06-2020,703.7376099,712.1140637,699.9487418,705.2668252,25381289.0
2020-06-04,04-06-2020,721.1524048,725.5803072,703.4408555,704.8102669,34202350.0
2020-06-05,05-06-2020,722.0196533,738.589995,718.3677691,728.0908731,33076685.0
2020-06-08,08-06-2020,716.4505615,738.7726365,714.3964143,738.7726365,31414953.0
2020-06-09,09-06-2020,701.6833496,722.6131326,699.7889459,712.2509334,25857161.0
2020-06-10,10-06-2020,717.6602783,721.0382562,703.0071606,704.3993925,22132647.0
2020-06-11,11-06-2020,701.9344482,715.7430268,698.8760177,714.8529064,20385805.0
2020-06-12,12-06-2020,725.2607422,727.1779664,683.3555346,684.7250064,38548899.0
2020-06-15,15-06-2020,737.0151978,742.6755886,712.6161537,714.3964549,53107403.0
2020-06-16,16-06-2020,738.453125,752.5356103,723.663023,750.002172,51187003.0
2020-06-17,17-06-2020,737.3803711,746.5556629,731.3319714,734.1393161,41782053.0
2020-06-18,18-06-2020,755.8907471,760.0447429,732.9296371,733.568732,40471557.0
2020-06-19,19-06-2020,803.1367798,816.557349,758.6753146,762.3271386,105804173.0
2020-06-22,22-06-2020,797.0884399,823.5872728,791.998622,809.5276077,60198705.0
2020-06-23,23-06-2020,785.5621948,805.1225069,783.3710641,798.8458417,37962078.0
2020-06-24,24-06-2020,788.7347412,809.2080549,781.3625709,792.4094463,51586221.0
2020-06-25,25-06-2020,784.192688,798.3893355,781.9787369,788.3466838,39679374.0
2020-06-26,26-06-2020,795.0341797,799.7588088,783.7818601,789.1684046,30921913.0
2020-06-29,29-06-2020,786.5892944,794.1669095,783.1200344,788.8260661,25621946.0
2020-06-30,30-06-2020,777.8932495,794.7374375,773.9902793,792.9115557,30276420.0
2020-07-01,01-07-2020,793.1854858,798.3894064,779.6963935,785.1513999,28464103.0
2020-07-02,02-07-2020,806.8405151,810.1634994,795.2444705,798.8883026,28789533.0
2020-07-03,03-07-2020,819.4677124,821.8053003,810.3467369,815.7551405,29434266.0
2020-07-06,06-07-2020,848.7557373,851.5974194,821.3927498,827.3053688,47016185.0
2020-07-07,07-07-2020,835.7617798,854.5079474,827.9012815,852.5141811,35189589.0
2020-07-08,08-07-2020,824.0970459,841.0326934,820.4303006,836.0367907,26204095.0
2020-07-09,09-07-2020,836.128418,841.0555804,818.7114691,829.1387493,36418942.0
2020-07-10,10-07-2020,860.7871704,863.7893066,836.1283855,838.0763855,43759967.0
2020-07-13,13-07-2020,886.8897095,892.7106145,870.8477446,872.3831828,69608392.0
2020-07-14,14-07-2020,878.6395874,889.9606105,865.0268636,886.431406,67331128.0
2020-07-15,15-07-2020,845.1806641,906.9650492,824.0970303,888.2417955,139669773.0
2020-07-16,16-07-2020,844.9057007,856.6392249,830.7200216,846.5557057,60961724.0
2020-07-17,17-07-2020,876.2103882,880.0146136,842.4306265,845.6390437,49726765.0
2020-07-20,20-07-2020,879.96875,885.5146947,870.6873804,879.0062672,36592938.0
2020-07-21,21-07-2020,903.6420288,906.1400103,887.5772116,888.7230619,42173371.0
2020-07-22,22-07-2020,918.5152588,921.2652874,898.6690683,908.8900677,59771457.0
2020-07-23,23-07-2020,943.1739502,953.2115816,912.7171736,918.4922517,58333751.0
2020-07-24,24-07-2020,983.668335,991.3913523,943.1739279,943.2655814,120597372.0
2020-07-27,27-07-2020,988.2746582,1007.8,975.3036309,998.6331978,80304827.0
2020-07-28,28-07-2020,998.1290894,1005.60006,985.7309555,988.274764,55114422.0
2020-07-29,29-07-2020,960.9804688,1000.466506,948.9719242,998.2206928,72663399.0
2020-07-30,30-07-2020,966.5722656,980.7120569,949.6823852,962.0576046,72857444.0
2020-07-31,31-07-2020,947.4365234,975.8078204,940.8822695,969.1619129,74958061.0
2020-08-03,03-08-2020,920.8069458,942.8072957,918.1026833,940.1947473,46715383.0
2020-08-04,04-08-2020,985.7080078,993.2248054,916.7964728,926.1237297,92041055.0
2020-08-05,05-08-2020,974.6390381,1006.516625,970.9035529,994.1414667,74549993.0
2020-08-06,06-08-2020,978.1453857,993.5456555,966.0910135,988.6414064,49322975.0
2020-08-07,07-08-2020,983.8059082,989.0080918,971.7745098,976.1745436,32984416.0
2020-08-10,10-08-2020,971.6140137,992.3081198,966.2285233,989.603918,26958997.0
2020-08-11,11-08-2020,978.0078735,990.0164186,962.6763444,978.4662015,46828306.0
2020-08-12,12-08-2020,975.1661377,983.1413237,965.6326607,972.141088,30264617.0
2020-08-13,13-08-2020,972.6223755,980.3453931,967.0993443,975.3494907,24830322.0
2020-08-14,14-08-2020,968.8410645,988.6413672,957.5887818,972.8515102,33224635.0
2020-08-17,17-08-2020,958.5513306,964.8076502,948.8115727,964.8076502,30979066.0
2020-08-18,18-08-2020,971.0181885,978.2370513,954.4262424,955.6408328,30547672.0
2020-08-19,19-08-2020,976.9766235,987.2664239,972.3015687,981.3079778,34087543.0
2020-08-20,20-08-2020,961.1638184,973.4702979,957.0158318,971.682752,22537845.0
2020-08-21,21-08-2020,954.1970825,972.5994884,951.974122,970.7661158,25280895.0
2020-08-24,24-08-2020,960.5679932,964.5784388,948.9948629,958.574227,32717218.0
2020-08-25,25-08-2020,954.3116455,967.6952354,952.4324461,965.265994,19388008.0
2020-08-26,26-08-2020,979.6120605,984.4933962,938.2239085,955.6408575,59870421.0
2020-08-27,27-08-2020,967.3743896,985.4330344,964.0055788,984.5163177,28085062.0
2020-08-28,28-08-2020,969.9182129,977.5954041,965.3806383,971.6827848,27166900.0
2020-08-31,31-08-2020,953.6699829,996.4331786,944.3427264,996.4331786,62076132.0
2020-09-01,01-09-2020,956.6721191,972.7827632,945.2822958,962.5159374,38616258.0
2020-09-02,02-09-2020,975.4411621,979.9329099,955.640859,958.8492156,26949439.0
2020-09-03,03-09-2020,968.0618896,980.276655,963.8909897,975.3494927,18586429.0
2020-09-04,04-09-2020,952.0886841,961.1180064,949.7740701,954.9762536,28475945.0
2020-09-07,07-09-2020,954.5637207,965.1513943,936.9634046,955.1825029,21926473.0
2020-09-08,08-09-2020,965.7702026,972.1410891,953.5782899,958.8492134,27397082.0
2020-09-09,09-09-2020,990.6351929,993.5915026,954.0137474,955.6408998,55310877.0
2020-09-10,10-09-2020,1060.600952,1074.786631,997.0519343,1000.604113,140304404.0
2020-09-11,11-09-2020,1063.236328,1071.532301,1048.271595,1059.684271,59470807.0
2020-09-14,14-09-2020,1055.352905,1081.684609,1045.933935,1065.642705,44063445.0
2020-09-15,15-09-2020,1062.823975,1065.986505,1048.752861,1059.661445,27178393.0
2020-09-16,16-09-2020,1065.436401,1085.970054,1059.019688,1063.350921,33952295.0
2020-09-17,17-09-2020,1053.611328,1069.63032,1050.448677,1063.350965,25828669.0
2020-09-18,18-09-2020,1056.796753,1063.0989,1043.436076,1060.715545,33074915.0
2020-09-21,21-09-2020,1033.948364,1070.684311,1030.052364,1054.18402,33627381.0
2020-09-22,22-09-2020,1013.460571,1043.642268,1009.060477,1043.642268,34792254.0
2020-09-23,23-09-2020,1022.466919,1043.5277,1010.779282,1035.850509,42988708.0
2020-09-24,24-09-2020,999.7332764,1020.266868,997.372775,1011.970955,29826318.0
2020-09-25,25-09-2020,1009.129211,1014.216828,993.3623281,1003.308306,28374935.0
2020-09-28,28-09-2020,1015.798096,1025.767048,1011.581369,1020.725258,19666849.0
2020-09-29,29-09-2020,1028.998291,1037.683791,1015.798069,1019.808575,25842539.0
2020-09-30,30-09-2020,1024.094116,1039.05885,1019.808589,1035.850493,24465159.0
2020-10-01,01-10-2020,1019.923157,1037.592153,1014.7668,1037.592153,20783227.0
2020-10-05,05-10-2020,1013.941772,1030.877419,1011.10009,1028.516978,18922799.0
2020-10-06,06-10-2020,1013.093872,1023.887766,1009.106279,1019.923147,18412175.0
2020-10-07,07-10-2020,1034.704712,1058.30924,1017.516897,1024.391998,53170865.0
2020-10-08,08-10-2020,1026.339966,1039.517336,1018.479467,1035.392202,21077808.0
2020-10-09,09-10-2020,1023.68158,1032.642162,1016.187695,1024.392015,18545499.0
2020-10-12,12-10-2020,1025.331543,1033.902476,1020.381528,1024.391974,14226473.0
2020-10-13,13-10-2020,1045.338257,1047.652871,1020.198168,1022.375302,23112012.0
2020-10-14,14-10-2020,1048.454956,1056.017581,1039.746421,1044.51325,26742011.0
2020-10-15,15-10-2020,1011.329285,1049.600735,1006.058361,1049.600735,20036197.0
2020-10-16,16-10-2020,997.2581787,1023.246061,995.814394,1015.225169,21583600.0
2020-10-19,19-10-2020,997.4415283,1021.504446,987.7934843,1003.789562,31200385.0
2020-10-20,20-10-2020,988.137207,1005.141654,986.464228,998.7248807,18482288.0
2020-10-21,21-10-2020,973.7911987,1004.683392,961.4847186,993.6832168,34082321.0
2020-10-22,22-10-2020,965.701416,977.412027,958.3908994,975.0744996,30802210.0
2020-10-23,23-10-2020,968.4973145,978.5578595,960.8659502,965.2659839,23422125.0
2020-10-26,26-10-2020,930.0195923,963.4097057,925.16117,963.4097057,37324416.0
2020-10-27,27-10-2020,932.4946289,944.1135253,918.9735593,932.6779359,36478896.0
2020-10-28,28-10-2020,921.9298706,943.1281311,920.0735847,935.8404675,29924017.0
2020-10-29,29-10-2020,929.0111694,935.9321583,912.5567647,915.3067932,30655304.0
2020-10-30,30-10-2020,941.661438,946.5198602,926.6736702,932.0362471,34021563.0
2020-11-02,02-11-2020,860.512207,929.0570677,852.1245801,929.0570677,99366895.0
2020-11-03,03-11-2020,848.1140137,874.972785,841.1014319,866.2643109,88691623.0
2020-11-04,04-11-2020,876.8978271,884.139664,841.9722767,841.9722767,80180117.0
2020-11-05,05-11-2020,896.0565186,898.7836338,885.5146715,896.0336052,37205373.0
2020-11-06,06-11-2020,930.0424805,935.0154695,906.6670862,912.0984638,66674086.0
2020-11-09,09-11-2020,939.9197388,948.3073655,933.1821171,945.1448356,35838510.0
2020-11-10,10-11-2020,955.4345703,957.9325519,935.5655272,951.974106,36934242.0
2020-11-11,11-11-2020,915.3984985,960.2242623,906.6441973,957.4742337,56724780.0
2020-11-12,12-11-2020,907.5150146,920.5548432,900.6399128,907.9734033,40046527.0
2020-11-13,13-11-2020,915.0317993,933.4800313,908.3171518,908.4317186,45388670.0
2020-11-14,14-11-2020,917.7360229,923.6944688,914.5505797,923.5111619,5226220.0
2020-11-17,17-11-2020,913.5880127,955.6408333,909.8067007,955.6408333,46542562.0
2020-11-18,18-11-2020,910.8151245,919.6611401,898.3940776,913.5880666,30402290.0
2020-11-19,19-11-2020,904.3754272,921.4715288,902.1066399,910.8151146,27796343.0
2020-11-20,20-11-2020,870.6186523,909.2567773,868.5560853,905.2233573,57471248.0
2020-11-23,23-11-2020,894.0856323,902.9315867,882.8791767,894.2231125,45327567.0
2020-11-24,24-11-2020,900.2045288,904.7650168,885.5146947,900.1816154,30936268.0
2020-11-25,25-11-2020,892.7564087,913.4505141,890.1897478,907.5149819,32637879.0
2020-11-26,26-11-2020,894.956543,900.6399681,884.6209763,895.1628239,25838637.0
2020-11-27,27-11-2020,884.5062866,896.5606584,880.6562345,889.4105356,47336811.0
2020-12-01,01-12-2020,896.0106812,901.2128645,884.6209183,889.3417997,19750687.0
2020-12-02,02-12-2020,897.5003052,899.2649377,886.8897179,897.6606988,22188887.0
2020-12-03,03-12-2020,900.2045288,908.0192609,897.7294606,903.8483608,27785372.0
2020-12-04,04-12-2020,892.2752075,902.4732935,889.1814177,902.4732935,18464552.0
2020-12-07,07-12-2020,897.5231934,900.6398964,889.4564147,889.4564147,18242188.0
2020-12-08,08-12-2020,913.8171997,923.2131962,893.7647896,898.8753194,43403061.0
2020-12-09,09-12-2020,929.0341187,932.1737957,916.3381119,921.2423609,29175254.0
2020-12-10,10-12-2020,919.8901978,929.7445221,917.1401693,926.5819923,16065507.0
2020-12-11,11-12-2020,919.340271,934.098845,904.8795708,922.6402811,26944202.0
2020-12-14,14-12-2020,912.6942749,923.5569696,910.4254877,920.325639,17312747.0
2020-12-15,15-12-2020,904.925415,911.9609102,898.8523419,911.9609102,18551265.0
2020-12-16,16-12-2020,905.9337769,914.3672911,900.9607876,911.1817872,18561011.0
2020-12-17,17-12-2020,910.0817871,918.9736296,906.2088214,909.5776323,20252358.0
2020-12-18,18-12-2020,912.8088379,918.9277378,900.6398994,907.5608884,18466344.0
